"","cases","Country","Population","Popchange","Density","Migrant","Fert","MedAge","Urban","WorldShare","log_cases","log_casespop"
"67",678861,"Iran",83992949,103,52,-55000,12,18,60,58,13.4281716727713,0.735941715177671
"68",8733,"Iraq",40222493,138,93,7834,27,7,57,42,9.07486423241373,0.51826938449612
"69",34870.3079,"Ireland",4937786,92,72,23604,8,24,47,7,10.4593909695705,0.678633582836813
"70",53098,"Israel",8655535,115,400,10000,20,16,75,12,10.8798945417373,0.68111258075537
"71",1556744,"Italy",60461826,5,206,148943,3,33,53,53,14.2581070185439,0.795763299344575
"72",442.7025,"Jamaica",2961167,52,273,-11332,10,17,39,5,6.09289798688727,0.408889306026548
"73",37860,"Japan",126476461,12,347,71560,4,34,74,64,10.5416504247633,0.565067282857778
"74",3344.51,"Jordan",10203134,83,115,10220,18,10,73,14,8.11507547453755,0.502848689192604
"75",3281.9237,"Kazakhstan",18776707,97,7,-18000,18,17,42,24,8.0961850233603,0.483408365565455
"76",720.9062,"Kenya",53771296,137,94,-10000,25,6,16,49,6.58050903173421,0.369686319120072
"77",5448.75,"Kuwait",4270571,111,240,39520,11,23,81,6,8.6031415035526,0.563502722443581
"78",1018.7661,"Kyrgyzstan",6524195,120,34,-4000,20,12,22,9,6.92634746811118,0.441420881403138
"79",4698.6032,"Latvia",1886198,21,30,-14837,7,30,53,3,8.45502055203865,0.585119544400143
"80",6708.8623,"Lebanon",6825445,15,667,-30012,11,16,61,10,8.8111846626839,0.559932037304164
"81",50.5705,"Liberia",5057681,143,53,-5000,34,5,37,7,3.92336840232796,0.254163125196973
"82",5574.8813,"Lithuania",2722289,22,43,-32780,7,31,55,4,8.62602630462183,0.582171548602895
"83",24634.1296,"Luxembourg",625978,119,242,9741,5,26,71,2,10.1118881425089,0.757611053166653
"84",503.8691,"Madagascar",27691018,153,48,-1500,31,6,25,31,6.22231651211549,0.363100599719307
"85",37672.5,"Malaysia",32365999,103,99,50000,10,16,61,35,10.5366856642923,0.609316937731891
"86",419.2207,"Maldives",540544,124,1802,11370,9,16,21,2,6.03839751155868,0.457442875159827
"87",2307.3754,"Malta",441543,42,1380,900,5,29,75,2,7.74386596708592,0.595772248277997
"88",74.9408,"Mauritania",4649658,157,5,5000,36,6,41,7,4.31669846851539,0.281175933256469
"89",1414.5,"Mauritius",1271768,36,626,0,4,23,26,3,7.25453139074162,0.516119336542238
"90",10926.4472,"Mexico",128932753,86,66,-60000,11,15,67,65,9.29894147801006,0.497940578493436
"91",3875.3699,"Moldova",4033963,8,123,-1387,3,24,27,6,8.26239639529613,0.543212048323432
"92",295.8467,"Mongolia",3278290,118,2,-852,19,14,51,5,5.68984141475933,0.379251145651335
"93",1162.3,"Montenegro",628066,26,47,-480,8,25,52,2,7.05815607964966,0.528684967982603
"94",5903.9074,"Morocco",36910560,96,83,-51419,14,16,48,38,8.68336968187547,0.498356609961134
"95",157.4904,"Namibia",2540905,126,3,-4806,24,8,39,4,5.05936450402706,0.343053560641096
"96",193.25,"Nepal",29136808,125,203,41710,9,11,10,32,5.26398468746753,0.306267971687827
"97",146057.9722,"Netherlands",17134872,40,508,16000,7,29,74,22,11.8917588917421,0.713935626466765
"98",6186.886,"New Zealand",4822233,72,18,14881,9,24,70,7,8.73018716962986,0.567309787927915
"99",419.0817,"Niger",24206644,174,19,4000,50,1,7,28,6.03806588898126,0.35513568916523
"100",1421.6753,"Nigeria",206139589,150,226,-60000,43,4,36,70,7.25959124392387,0.379208469046981
"101",3662.7453,"North Macedonia",2083374,25,83,-1000,5,25,43,4,8.20596822719174,0.564003481122011
